"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","12nF","Capacitor_THT:CP_Radial_Tantal_D6.0mm_P5.00mm",""
"2","C2","1","1nF","Capacitor_THT:CP_Radial_Tantal_D6.0mm_P5.00mm",""
"3","C3","1","56pF","Capacitor_THT:CP_Radial_Tantal_D6.0mm_P5.00mm",""
"4","C4","1","10nF","Capacitor_THT:CP_Radial_Tantal_D6.0mm_P5.00mm",""
"5","D1, D2","2","1N914","Diode_THT:D_5W_P10.16mm_Horizontal",""
"6","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11","11","Conn_01x01_Pin","Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical",""
"7","J12, J13, J14, J15, J16, J17, J18, J19","8","Conn_01x02","Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical",""
"8","R1, R2, R3, R4","4","15k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"9","R5","1","18k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"10","R6, R15, R23, R29","4","2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"11","R7, R8, R9, R10, R13, R24, R25, R26, R30, R31, R35, R36, R37, R38, R39, R40, R41, R42","18","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"12","R11, R16, R18","3","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"13","R12","1","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"14","R14","1","12k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"15","R17, R19","2","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"16","R20","1","4.7K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"17","R21","1","63k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"18","R22, R28","2","13k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"19","R27","1","50k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"20","R32","1","56k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"21","R33","1","42k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"22","R34","1","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"23","U1, U2, U3, U4, U5, U6, U7","7","TL082","Package_DIP:DIP-8_W10.16mm_LongPads",""
"24","ZP1","1","TL431LP","Package_TO_SOT_THT:TO-92L_Inline_Wide",""
